,titre,tag_1,type
1,pudding de noël,dessert,autre
2,verrines de noël,plat principal,legume
3,bûche de noël,dessert,autre
4,bûche de noël au nutella®,dessert,chocolat
5,boules de noël,confiserie,autre
6,muffins de noël,dessert,autre
7,fondants de noël,confiserie,chocolat
8,chocolats de noël,confiserie,chocolat
9,bûche de noël au nutella®,dessert,chocolat
10,rôti de noël,plat principal,viande
12,salade de noël,plat principal,legume
13,schabavari de noël,plat principal,viande
14,sapin de noël au nutella®,dessert,chocolat
15,compote de noël,dessert,fruit
18,bûche d'avant noël,dessert,autre
19,pancakes de noël au nutella®,dessert,chocolat
20,génoise recette de pâtissier,dessert,autre
21,recette de base pour biscuits,dessert,autre
22,butterplätzchen - sablés de noël,dessert,autre
23,sablés exotiques de noël,dessert,autre
24,chapon de noël au lard fumé,plat principal,viande
26,délicieux gâteau de noël,dessert,autre
27,coquille de noël (belgique),dessert,autre
28,petits sablés de noël,confiserie,biscuit
29,gâteau rond de noël au nutella®,dessert,autre
30,bûche de noël glacée,dessert,autre
31,gâteau de noël périgourdin,dessert,autre
32,pain d'épices de noël,dessert,epices
33,sablés de noël au thermomix,dessert,autre
34,couronne de noël à l’orange et au nutella®,dessert,chocolat
35,bûche de noël facile,dessert,autre
36,biscuits vitraux de noël,dessert,autre
37,petits biscuits de noël,dessert,autre
38,bûche de noël vialarainne,dessert,autre
39,bûche de noël pomme vanille et nutella®,dessert,autre
40,les bûchettes de noel,confiserie,biscuit
41,gâteau flocon de noël,dessert,autre
42,biscuits de noël siciliens,dessert,autre
43,gâteau de noël allemand,dessert,autre
44,bonhommes aux épices de noël et au nutella®,dessert,epices
45,biscuits sablés de noël,confiserie,biscuit
46,bûche de noël au chocolat,dessert,chocolat
47,bûche de noël de charquemont,dessert,autre
48,rouelle de porc de noël,plat principal,viande
49,mini tatin pommes foie gras de noël par laurent mariotte,entrée,viande
50,bûche de noël excellente !,dessert,autre
52,etoiles glacées de noël,dessert,autre
53,délice de noël au chocolat,dessert,chocolat
54,salade de pâtes de lentilles corail,plat principal,legume
55,truffe de noël vegan,confiserie,chocolat
56,pâté en croûte (de noël),entrée,porc
57,kit pour cookies de noël,dessert,autre
59,le steak de renne et sa purée de pommes de terre de juan arbelaez,plat principal,viande
60,chapon farci de noel,plat principal,viande
61,bûche de noël tiramisu,dessert,autre
62,sablés de noël (ausstecherle),confiserie,biscuit
63,bûche au citron de noël,dessert,autre
64,ricotta de brebis et chips de betterave,entrée,legume
65,bûche de noël de mon enfance,dessert,autre
66,serradura (recette portugaise),dessert,autre
68,chenklish (recette libanaise),entrée,legume
69,rouleau de printemps au confit de canard,plat principal,viande
70,chorba (recette serbe),entrée,legume
71,calentita recette algerienne,entrée,legume
72,yabrack (recette tunisienne),plat principal,viande
73,raclette (recette originale),plat principal,legume
74,purée de butternut et filet de poulet,plat principal,viande
75,cade (recette provençale),entrée,legume
77,patina de poires (recette romaine),dessert,fruit
78,paëlla veritable recette de valencia,plat principal,poisson
79,croquettes de pommes de terre par laurent mariotte,plat principal,legume
80,la véritable recette de la carbonara,plat principal,pates
81,pâtes gratinées (recettes de famille !!),plat principal,pates
83,"goulash, recette familiale",plat principal,legume
84,salade tiède de pomme de terre et mâche,plat principal,legume
85,bokit (recette guadeloupéenne),plat principal,legume
87,tiramisu (recette originale),dessert,autre
88,chaudeau (recette créole),dessert,epices
89,fricassée de lambi de julien duboué,plat principal,viande
90,"panettone, recette secrète",dessert,autre
91,confiture de melon (recette corse),dessert,fruit
92,bûche de noël au pain d'épices,dessert,epices
93,bûche de noël façon elisabeth,dessert,autre
94,viennoise de volaille,plat principal,viande
95,cougnol (spécialité belge de noël),confiserie,biscuit
96,gâteaux de noël alsacien ou schwowebredele,dessert,epices
97,buche de noël pomme cannelle,dessert,epices
98,brétalas ou bredele de noël (alsace),dessert,epices
99,pastilla de confit de canard par laurent mariotte,plat principal,viande
100,biscuits en pain d'épices de noël,dessert,epices
101,bûche de noël aux spéculoos,dessert,epices
102,bûche de noël à la mangue,dessert,fruit
103,cake de noël aux épices,dessert,epices
104,ris de veau,plat principal,viande
105,cougnoux (brioche de noël belge),dessert,autre
106,bûche de noël au chocolat et praliné,dessert,chocolat
107,bûche de noël chocolat - poires,dessert,chocolat
108,simple gibier en civet de noël,plat principal,viande
110,la meilleure recette de cookies,dessert,autre
111,millet de courge (recette d'halloween),dessert,legume
112,cannoli (recette sicilienne),dessert,pates
113,kanelbullar (recette suédoise),dessert,epices
114,filet mignon de porc au cidre et dés de lardons,plat principal,viande
115,pancakes : la vraie recette,dessert,autre
116,cannelés bordelais : ma recette de famille,confiserie,epices
117,tortillas (recette sans farine de maïs),plat principal,legume
118,boulettes de poulet (recette minceur),plat principal,viande
119,magrets de canard rôtis au miel et au vinaigre de cidre,plat principal,viande
120,bonhomme de neige : entrée de noël,entrée,legume
121,nougat noir de noël de jacqueline,confiserie,bonbon
122,bretzels au chocolat (sablés de noël),dessert,epices
123,bûche de noël chocolat / marrons,dessert,chocolat
124,saumon en croûte de tapenade & tian de légumes rôtis,plat principal,poisson
125,bûche de noël au carambars et chocolat,dessert,chocolat
126,vanocka (gâteau de noël tchèque),dessert,epices
127,bûche aux marrons de noël,dessert,autre
128,bredele (gâteaux de noël alsacien),confiserie,epices
131,petits sablés de noël décorés,confiserie,epices
133,bûche de noël chocolat orange,dessert,chocolat
134,gratin de coquillettes au potimarron en moins de 30 minutes,plat principal,pates
135,paëlla de valence - recette familiale,plat principal,poisson
136,vraie recette du biscuit de savoie,dessert,autre
137,cari de crevettes (recette réunionnaise),plat principal,poisson
138,tourte de noël végétarienne de coralie,plat principal,legume
139,crumble aux pommes et beurre de cacahuètes skippy® de@ionalbr,dessert,fruit
140,tiramisu de noël (speculoos framboises),dessert,fruit
141,pain perdu de noël au chocolat,dessert,chocolat
142,tiramisù de noël à la clémentine,dessert,fruit
143,mesclun de noel au foie gras,entrée,viande
144,curry de pois chiches au beurre de cacahuètes skippy®️,plat principal,legume
145,muffins au potimarron et épices de noël,dessert,epices
146,schwowebredle (petits fours de noël),dessert,epices
147,biscuits de noël aux épices,dessert,epices
148,bûche de noël au chocolat sans gluten,dessert,chocolat
149,tarte aux oignons et fondue de poireaux de niinii,plat principal,legume
150,la pompe de noël (provence),dessert,autre
151,bûche de noel chocolat passion,dessert,chocolat
152,"alternative à la ""bûche"" de noël",dessert,autre
153,le boeuf noël de susanne,plat principal,viande
154,crêpes vegan de goodplanet,dessert,autre
155,bûche de noël aux chataignes,dessert,autre
156,tartine du matin de noël (chamallows),dessert,autre
157,bûche rose de noël d'edith,dessert,autre
158,bûche de noël à la vanille,dessert,autre
159,salade de lentilles au crabe,entrée,poisson
160,gâteau de noël à la cannelle,dessert,epices
161,biscuits de noël au chocolat (brabanzerl),dessert,chocolat
162,bûche de noël rapide et pas cher !,dessert,autre
164,"boulettes de veau dans leur pain pita, salade de tomates et concombre",plat principal,viande
165,bûche de noël poire et chocolat,dessert,fruit
166,sablés amandine (sablés de noël),confiserie,biscuit
167,sablés de noël décorés au glaçage,confiserie,biscuit
168,weihnachtsplätzchen (biscuits de noël allemands),dessert,epices
170,bûche de noël café craquante,dessert,autre
171,petits sablés de noël au citron,dessert,fruit
172,les sucettes de noël de géraldine,dessert,autre
173,le fudge (recette anglaise),confiserie,bonbon
174,salade de reblochon pané,plat principal,legume
175,garantita ou karantita (recette algérienne),plat principal,legume
176,crottes d'âne - recette boulangère,dessert,legume
179,blanquette de veau minute,plat principal,viande
180,bananes meringuées (recette brésilienne),dessert,fruit
181,père noël : entrée pour noël,entrée,legume
182,gâteau marbré (recette de grand-mère),dessert,autre
183,baeckehoffe (la meilleure recette de ma grand mère!!),plat principal,viande
185,pudim (recette portugaise authentique),dessert,autre
186,omelette provençale (vieille recette),entrée,viande
187,falafels (recette facile et inratable),plat principal,legume
188,poulet azar (recette tunisienne),plat principal,viande
189,cuisses de poulet à la pâte de curry tikka masala patak's,plat principal,viande
190,panettone (la vraie recette italienne),dessert,autre
193,la tarte au thon de corinne (recette de marseille),plat principal,poisson
194,travers de porc printanier,plat principal,viande
195,recette de la pâte a sucre (fondant),dessert,autre
196,chorba algerienne (recette de ma grand-mère),plat principal,legume
197,blancs de poulet noircis (recette cajun),plat principal,viande
198,pasteis de nata (recette à la crème),dessert,autre
200,thon mashuni (recette maldivienne),plat principal,poisson
201,chapon noël  farci et accompagné de fruits,plat principal,viande
202,gâteau aux 10 desserts de noël,dessert,autre
203,sablés de noel aux amandes et noisettes,confiserie,biscuit
205,sablés de noël à la poudre d’amande,dessert,autre
206,bûche de noël façon grand-mère,dessert,autre
207,biscuits de noël aux amandes (alsace),confiserie,biscuit
208,bûche de noël à la crème au beurre,dessert,autre
209,blanquette de veau au cookeo,plat principal,viande
210,forêt de noël : ravioli aux épinards,plat principal,legume
211,salade d'oranges aux épices de noël,dessert,fruit
212,bûche de noël crème pâtissière et chocolat,dessert,chocolat
214,velouté de butternut et châtaignes,entrée,legume
215,la bûche de noël de mamie popo,dessert,autre
216,bûche de noël crème de marrons chantilly,dessert,autre
217,bûche de noël à la mousse de framboises,dessert,fruit
218,bûche de noël au chocolat et gelée de framboise,dessert,fruit
219,florentins de laurent mariotte,dessert,chocolat
220,"chocolats de pâques, de noël ou de tous les jours",confiserie,chocolat
221,beignets au sucre ( recette marocaine ),dessert,autre
223,véritables flapjacks (recette anglaise),dessert,autre
224,"dos de cabillaud sauce crème, paprika et beurre de cacahuètes skippy®️",plat principal,poisson
225,pâtes au chorizo recette simple,plat principal,viande
226,yaourts recette maison (avec yaourtière),dessert,autre
227,la vraie recette de la panna cotta,dessert,autre
228,tarte aux fraise (recette de famille),dessert,fruit
229,rillette de maquereau au fromage,entrée,poisson
230,bûche de noël aux marrons et au chocolat,dessert,chocolat
231,bûche de noël chocolat et fruits rouges,dessert,chocolat
232,"tiramisu de noël (orange, pain d'épices)",dessert,epices
234,nid de pâques au nutella®,dessert,chocolat
235,petits milanais (biscuits de noël suisse),confiserie,biscuit
236,gâteau au chocolat (recette américaine),dessert,chocolat
237,cabri en ragoût - recette corse,plat principal,viande
238,far breton recette authentique,dessert,autre
240,cabri en ragoût - recette corse,plat principal,viande
241,far breton recette authentique,dessert,autre
242,far breton recette traditionnelle,dessert,autre
243,dal bhat (recette népalaise),plat principal,legume
244,curry de légumes aux falafels,plat principal,legume
246,la vraie recette de la galette-comtoise,dessert,autre
247,la recette d'amour de juliette delacroix,entrée,legume
248,emincé de poulet au basilic (recette chinoise),plat principal,viande
249,brownie chocolat au marc de café,dessert,chocolat
250,jambon de noël,plat principal,viande
251,tiramisù de noël,dessert,autre
252,truffes au chocolat au muesli (pour noël),confiserie,chocolat
253,bûche noël fruit chocolat,dessert,chocolat
254,féroce d’avocat de julien duboué,plat principal,legume
255,bûche de noël légère aux marrons,dessert,autre
256,buche de noel à la praline et framboises,dessert,fruit
257,"buche traditionnelle de noël, biscuit au marron",dessert,autre
258,bouquettes liégeoises (crêpes belges de noël),confiserie,biscuit
259,blanquette de saumon romarin au cookeo,plat principal,poisson
260,le famous pain d'épices de noël,dessert,epices
261,buche de noël vanille fruits rouges,dessert,fruit
262,tarte à l'orange et amandes de noël,dessert,fruit
263,petits coeurs ( petits fours de noël ),dessert,autre
264,magret de l’été par laurent mariotte,plat principal,viande
265,biscuits de noël aux noisettes (nüsskipfel),dessert,autre
266,bûche de noël au café - chocolat noisette,dessert,chocolat
267,biscuits de noël à la confiture vegan,dessert,fruit
268,confiture de noël aux fruits secs,confiserie,biscuit
269,burger de dordogne par laurent mariotte,plat principal,viande
270,bûche de noël à la mousse au chocolat,dessert,chocolat
271,schokobredle (petits gâteaux de noël au chocolat),dessert,chocolat
272,verrine de noel aux marrons glacés,dessert,autre
273,tarte de noël aux fruits secs,dessert,autre
274,soupe de lentilles et lardons au cookeo,plat principal,viande
275,petits sablés ( petits fours de noel),dessert,autre
276,couques de noël (délicieux biscuits vanillés),dessert,autre
277,délice de noël aux deux chocolats,dessert,chocolat
278,patates douces farcies végétariennes de noël,plat principal,legume
279,fajitas de boeuf par laurent mariotte,plat principal,viande
280,bûche de noël aux fruits et mascarpone,dessert,fruit
281,sabayon de noël aux marrons glacés,dessert,autre
282,pavlova de noël mangue et fruit de la passion,dessert,fruit
283,bottereaux façon mamie noelle,confiserie,biscuit
285,bûche de noël noix de coco-chocolat,dessert,chocolat
286,dessert de potiron (kabak tatlisi : recette turque),dessert,fruit
287,les nems de ma grand mère (recette originale),entrée,legume
288,lasagne al forno (recette italienne),plat principal,pates
290,pâtes au chou-fleur (recette calabraise),plat principal,pates
291,"penne à la carbonara, recette savoyarde",plat principal,pates
292,linzer torte (la recette alsacienne),dessert,fruit
293,boeuf aux oignons (recette grecque),plat principal,viande
294,effiloché de porc par laurent mariotte,plat principal,viande
295,boulettes de boeuf au riz gluant (recette de chine),plat principal,viande
296,gâteau marbré recette de grand-mère au cookeo,dessert,autre
297,salade de crevettes aux pêches (recette légère),entrée,poisson
298,boules à la noix de coco (recette algérienne),confiserie,bonbon
299,courgettes farcies au reblochon de savoie,plat principal,legume
300,cookies de noël aux raisins et à la cannelle,dessert,epices
301,pâte à tartiner de noël pain d'épices,dessert,epices
302,petits gâteaux de noël alsacien au beurre (butterbredle),dessert,autre
303,la tartignole (recette typique du nord),dessert,fruit
304,macarons au fruit de la passion et au nutella®,dessert,fruit
305,pain d'épices (recette du moyen-age),dessert,epices
306,spaghettis carbonara : la recette italienne sans crème !,plat principal,pates
307,tourte aux herbes (recette corse),entrée,viande
308,porc au caramel recette chinoise facile,plat principal,viande
309,cheesecake de dordogne par laurent mariotte,dessert,autre
310,"gâteau pomme-cannelle, ambiance noël",dessert,fruit
311,gâteau marbré recette de grand-mère au companion,dessert,autre
312,"beignets de prunes (szilvas gomboc, recette hongroise)",dessert,fruit
313,choux farcis (recette polonaise que je tiens de ma mamie),plat principal,viande
314,cookie vegan de ela ryth,dessert,autre
315,"gâteau pomme-cannelle, ambiance noël",dessert,fruit
316,riz de noël,dessert,epices
317,tajine de noël,plat principal,viande
318,recette baba chantilly par jeffrey cagnes,dessert,autre
319,salade de pâtes au reblochon et au pesto,plat principal,pates
320,"poulpe ""a lagareiro"" (recette portugaise)",plat principal,poisson
321,spaghetti au thon (véritable recette italienne),plat principal,poisson
322,crème pâtissière recette d'un pâtissier,dessert,autre
323,scampis à l'italienne (recette maison),entrée,poisson
324,kadaif de langoustines et bisque maison,entrée,poisson
325,véritable carrot cake (recette usa),dessert,autre
326,nems au crabe - recette vietnamienne + sauce,entrée,poisson
327,pompe de noël,dessert,autre
328,petits gâteaux de noël de mémé ou bredele de mémé,dessert,epices
329,risotto à la saucisse de veau,plat principal,viande
330,blinis à la farine de châtaignes (recette corse),dessert,autre
